"n","R","Outcome","Method","Avg_Time"
250,200,"linear-interaction","R-Lasso",0.129248431921005
250,200,"linear-interaction","S-Lasso",0.042589795589447
250,200,"log","R-Lasso",0.134200006723404
250,200,"log","S-Lasso",0.0433378493785858
250,500,"linear-interaction","R-Lasso",0.128979301929474
250,500,"linear-interaction","S-Lasso",0.0424358129501343
250,500,"log","R-Lasso",0.130709134578705
250,500,"log","S-Lasso",0.044609169960022
500,200,"linear-interaction","R-Lasso",0.151105704307556
500,200,"linear-interaction","S-Lasso",0.0512586677074432
500,200,"log","R-Lasso",0.146365014314651
500,200,"log","S-Lasso",0.0481060266494751
500,500,"linear-interaction","R-Lasso",0.142189470767975
500,500,"linear-interaction","S-Lasso",0.045262996673584
500,500,"log","R-Lasso",0.14184295129776
500,500,"log","S-Lasso",0.0448037586212158
1000,200,"linear-interaction","R-Lasso",0.176490516662598
1000,200,"linear-interaction","S-Lasso",0.0544587898254395
1000,200,"log","R-Lasso",0.177582626342773
1000,200,"log","S-Lasso",0.055211763381958
1000,500,"linear-interaction","R-Lasso",0.185330278873444
1000,500,"linear-interaction","S-Lasso",0.0567097849845886
1000,500,"log","R-Lasso",0.191323806285858
1000,500,"log","S-Lasso",0.0622305526733398
